Company Name,Current Year,Years_to_Bankrupt,Bankruptcy,"Total Revenue [CY 2005] ($USDmm, Historical rate)","Gross Profit [CY 2005] ($USDmm, Historical rate)","Net Income [CY 2005] ($USDmm, Historical rate)",EBITDA,"Total Current Assets [CY 2005] ($USDmm, Historical rate)","Total Assets [CY 2005] ($USDmm, Historical rate)","Total Current Liabilities [CY 2005] ($USDmm, Historical rate)","Cash from Ops. [CY 2005] ($USDmm, Historical rate)",Net_Debt_EBITDA,Profit_Margin,Net Debt,Net Workng Capital,Current_Ratio,Debt_to_Cash_Flow_From_Ops,"Market Capitalization [My Setting] [1/31/2005] ($USDmm, Historical rate)","Market Capitalization [My Setting] [01/31/2006] ($USDmm, Historical rate)"
"Holiday Island Holdings, Inc. (OTCPK:HIHI)",2005,16.0,0.0,8.8,5.7,-8.2,0.4,2.0,8.7,2.7,0.4,0.0,-0.9,0.0,-0.7,0.8,0.0,,7.8
Circa Enterprises Inc. (TSXV:CTO),2005,16.0,0.0,25.2,6.8,0.7,2.2,10.3,13.6,3.8,0.8,0.1,0.0,0.1,6.6,2.7,0.1,8.2,7.9
First Hartford Corporation (OTCPK:FHRT),2005,16.0,0.0,6.5,3.4,-2.9,1.0,1.7,62.0,21.2,0.9,57.3,-0.4,56.2,-19.5,0.1,62.1,,7.9
Mikros Systems Corporation (OTCPK:MKRS),2005,16.0,0.0,1.6,0.6,0.1,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.0,0.1,2.0,0.0,5.4,7.9
C-Com Satellite Systems Inc. (TSXV:CMI),2005,16.0,0.0,5.1,2.1,0.4,0.4,2.5,2.6,0.7,0.4,0.0,0.1,0.0,1.8,3.7,0.0,7.6,8.0
American Locker Group Inc.,2005,16.0,0.0,32.3,9.4,-8.2,1.5,10.7,15.1,3.3,0.2,0.7,-0.3,1.0,7.4,3.2,4.2,20.3,8.2
Epolin Inc.,2005,16.0,0.0,3.5,2.1,0.6,1.0,2.8,3.9,0.2,0.5,0.0,0.2,0.0,2.5,11.1,0.0,6.5,8.3
Grand Power Logistics Group Inc.,2005,16.0,0.0,34.5,2.6,0.6,1.0,11.7,12.1,7.2,-1.5,0.7,0.0,0.7,4.6,1.6,-0.4,0.3,8.3
Emerging Vision Inc.,2005,16.0,0.0,13.8,12.9,0.3,0.7,3.9,6.2,4.1,0.3,0.0,0.0,0.0,-0.2,0.9,0.0,10.5,8.4
"GEE Group, Inc. (AMEX:JOB)",2005,16.0,0.0,20.2,12.1,0.7,0.8,7.1,7.7,1.7,0.7,0.0,0.0,0.0,5.4,4.1,0.0,14.9,8.6
Toro Oil & Gas Ltd.,2005,16.0,0.0,3.1,2.3,-0.1,1.3,2.1,10.9,2.1,1.0,0.0,0.0,0.0,0.1,1.0,0.0,6.8,8.7
iParty Corp.,2005,16.0,0.0,72.5,31.1,-0.3,1.4,16.4,21.7,14.3,-0.3,5.0,0.0,6.8,2.1,1.1,-26.2,15.5,8.7
"WSI Industries, Inc.",2005,16.0,0.0,16.0,2.8,0.5,1.4,4.4,12.1,1.9,1.5,1.1,0.0,1.6,2.5,2.3,1.0,7.2,8.7
Detrex Corporation,2005,16.0,0.0,81.9,19.8,0.9,7.6,22.3,48.3,23.0,2.7,1.3,0.0,9.9,-0.7,1.0,3.6,2.9,8.7
Moro Corporation (OTCPK:MRCR),2005,16.0,0.0,34.9,6.7,1.5,3.0,10.8,12.6,6.4,0.7,0.8,0.0,2.3,4.5,1.7,3.4,4.1,8.8
Sangoma Technologies Corporation (TSXV:STC),2005,16.0,0.0,3.6,2.3,0.8,1.1,2.3,8.1,0.3,0.9,0.0,0.2,0.0,2.0,7.9,0.0,6.8,8.8
Electronic Control Security Inc. (OTCPK:EKCS),2005,16.0,0.0,8.1,2.6,-0.2,0.1,5.2,8.1,2.6,-0.8,7.7,0.0,1.1,2.6,2.0,-1.5,13.7,8.8
VCG Holding Corp.,2005,16.0,0.0,15.9,7.2,0.4,3.1,2.1,27.9,6.5,1.9,4.5,0.0,13.8,-4.4,0.3,7.4,24.0,9.0
Eldorado Artesian Springs Inc.,2005,16.0,0.0,7.8,6.3,-0.4,0.2,1.3,6.3,1.1,0.4,14.8,-0.1,3.4,0.2,1.2,9.3,6.0,9.0
"Paradise, Inc. (OTCPK:PARF)",2005,16.0,0.0,25.0,6.3,0.6,1.3,12.7,19.6,2.6,1.2,0.0,0.0,0.0,10.1,4.9,0.0,10.7,9.1
Sharps Compliance Corp. (NasdaqCM:SMED),2005,16.0,0.0,9.7,3.8,0.0,0.2,2.0,2.6,2.0,0.4,0.0,0.0,0.0,0.1,1.0,0.0,8.4,9.2
"Emergent Group, Inc.",2005,16.0,0.0,12.5,4.5,1.0,2.2,3.3,7.2,3.7,1.8,0.5,0.1,1.2,-0.4,0.9,0.6,4.0,9.2
CTI Group (Holdings) Inc.,2005,16.0,0.0,15.3,10.0,0.5,0.2,11.2,14.7,4.2,1.2,0.0,0.0,0.0,7.0,2.7,0.0,12.1,9.2
"Armanino Foods of Distinction, Inc. (OTCPK:AMNF)",2005,16.0,0.0,14.8,4.9,0.6,1.3,6.1,8.4,2.3,1.9,0.0,0.0,0.0,3.8,2.7,0.0,10.4,9.3
Advant-e Corp. (OTCPK:ADVC),2005,16.0,0.0,4.5,3.0,0.6,1.1,2.4,2.8,0.6,1.1,0.0,0.1,0.0,1.7,3.7,0.0,8.1,9.3
Synex International Inc. (TSX:SXI),2005,16.0,0.0,1.2,1.2,0.6,0.3,1.1,12.1,0.7,0.4,11.5,0.5,3.8,0.4,1.6,10.3,6.1,9.3
"CCOM Group, Inc. (OTCPK:CCOM)",2005,16.0,0.0,66.7,20.1,2.1,2.8,22.7,27.2,20.0,1.3,4.6,0.0,12.7,2.7,1.1,10.1,6.1,9.3
"Bioqual, Inc. (OTCPK:BIOQ)",2005,16.0,0.0,19.0,4.1,0.8,2.1,5.4,9.1,2.1,2.6,0.0,0.0,0.0,3.3,2.6,0.0,,9.4
Quality Products Inc.,2005,16.0,0.0,10.5,3.7,2.0,2.2,4.9,7.8,1.3,1.2,0.0,0.2,0.0,3.6,3.9,0.0,5.0,9.6
ORBIT/FR Inc.,2005,16.0,0.0,22.9,7.4,0.6,0.9,12.4,14.5,7.8,0.6,0.0,0.0,0.0,4.6,1.6,0.0,17.0,9.7
"Zynex, Inc. (NasdaqCM:ZYXI)",2005,16.0,0.0,2.1,2.0,0.3,0.3,1.3,1.5,0.6,-0.1,1.8,0.1,0.5,0.7,2.2,-3.8,6.1,9.7
Envela Corporation (AMEX:ELA),2005,16.0,0.0,35.6,6.5,0.5,1.3,9.5,11.8,2.4,0.3,2.3,0.0,3.1,7.1,3.9,11.2,13.0,9.8
"Great Lakes Aviation, Ltd. (OTCPK:GLUX)",2005,16.0,0.0,76.4,22.8,1.2,9.6,9.9,86.5,104.8,5.6,8.0,0.0,77.0,-94.9,0.1,13.8,13.6,9.9
Food Technology Service Inc.,2005,16.0,0.0,1.7,1.3,0.1,0.6,0.8,3.9,0.8,0.4,0.4,0.1,0.2,0.1,1.1,0.5,12.3,10.1
Scott's Liquid Gold-Inc. (OTCPK:SLGD),2005,16.0,0.0,24.1,10.6,-0.2,0.6,7.5,21.3,4.7,0.1,0.2,0.0,0.2,2.8,1.6,1.5,5.7,10.2
Cosmo Communications Corp.,2005,16.0,0.0,47.1,1.6,-0.7,0.5,19.4,19.5,16.2,-0.7,0.0,0.0,0.0,3.2,1.2,0.0,,10.2
Imperial Equities Inc. (TSXV:IEI),2005,16.0,0.0,2.4,1.8,0.3,1.5,0.8,17.4,4.2,0.5,8.3,0.1,12.2,-3.4,0.2,23.3,7.2,10.3
"Global Diversified Industries, Inc.",2005,16.0,0.0,13.8,4.4,0.8,2.5,6.1,8.9,3.0,-1.0,1.1,0.1,2.6,3.1,2.0,-2.7,8.0,10.4
"International Monetary Systems, Ltd. (OTCPK:ITNM)",2005,16.0,0.0,6.2,2.0,-0.2,0.5,1.8,7.9,2.1,0.7,4.9,0.0,2.5,-0.3,0.9,3.7,14.6,10.5
"HMG/Courtland Properties, Inc. (AMEX:HMG)",2005,16.0,0.0,9.3,2.7,-0.4,1.2,11.7,44.4,2.5,0.1,10.2,0.0,11.8,9.2,4.7,79.4,15.2,10.5
Helios and Matheson Analytics Inc. (OTCPK:HMNY),2005,15.0,1.0,26.4,7.8,-0.5,0.9,6.7,8.5,2.3,-0.1,0.0,0.0,0.0,4.4,2.9,0.0,17.5,10.5
Helios and Matheson Analytics Inc. (OTCPK:HMNY),2005,16.0,0.0,26.4,7.8,-0.5,0.9,6.7,8.5,2.3,-0.1,0.0,0.0,0.0,4.4,2.9,0.0,17.5,10.5
ICTV Brands Inc. (OTCPK:ICTV),2005,16.0,0.0,2.4,1.3,0.4,0.4,0.5,0.6,0.9,0.0,2.4,0.2,1.0,-0.3,0.6,-33.2,7.4,10.6
"LiveWorld, Inc. (OTCPK:LVWD)",2005,16.0,0.0,9.6,5.5,0.6,0.7,2.4,3.2,0.7,1.1,0.0,0.1,0.0,1.7,3.5,0.0,8.1,10.6
"CreditRiskMonitor.com, Inc. (OTCPK:CRMZ)",2005,16.0,0.0,3.8,2.7,1.1,0.0,2.9,5.0,3.0,1.3,0.0,0.3,0.0,-0.1,1.0,0.0,3.1,10.8
"Metwood, Inc. (OTCPK:MTWD)",2005,16.0,0.0,4.3,1.7,0.0,0.4,1.5,2.1,0.1,0.2,0.0,0.0,0.0,1.3,11.0,0.0,7.3,10.8
InterRent Real Estate Investment Trust (TSX:IIP.UN),2005,16.0,0.0,4.2,1.8,-0.6,1.2,1.0,47.5,0.4,-0.1,30.7,-0.1,35.9,0.6,2.5,-345.4,3.8,11.0
"Reunion Industries, Inc. (OTCPK:RUNI)",2005,2.0,1.0,49.7,9.9,-2.4,4.5,25.5,51.3,74.2,0.0,11.0,0.0,49.9,-48.7,0.3,-7134.3,4.7,11.2
"Reunion Industries, Inc. (OTCPK:RUNI)",2005,2.0,1.0,49.7,9.9,-2.4,4.5,25.5,51.3,74.2,0.0,11.0,0.0,49.9,-48.7,0.3,-7134.3,4.7,11.2
Swank Inc.,2005,16.0,0.0,97.9,32.9,3.6,5.1,27.4,31.3,17.4,2.8,1.6,0.0,8.1,10.0,1.6,2.9,9.7,11.2
"Inrad Optics, Inc. (OTCPK:INRD)",2005,16.0,0.0,13.8,3.8,0.0,1.4,6.0,13.5,3.6,0.4,3.8,0.0,5.3,2.4,1.7,14.7,10.0,11.2
ELXSI Corporation,2005,16.0,0.0,81.7,10.5,-22.6,1.1,20.6,40.6,14.8,-3.3,6.3,-0.3,6.9,5.8,1.4,-2.1,15.0,11.4
Galvanic Applied Sciences Inc.,2005,16.0,0.0,14.6,6.2,1.1,2.0,7.6,13.7,2.8,1.5,0.0,0.1,0.0,4.7,2.7,0.0,9.9,11.5
"Sonoma West Holdings, Inc.",2005,16.0,0.0,2.4,0.2,0.8,0.4,4.1,8.3,1.0,0.3,0.0,0.3,0.0,3.1,4.2,0.0,11.8,11.5
Winalta Inc.,2005,16.0,0.0,76.6,9.8,0.3,3.5,32.4,47.4,30.4,3.5,8.8,0.0,30.6,2.0,1.1,8.8,12.6,11.5
Daegis Inc.,2005,16.0,0.0,9.5,7.9,-1.4,1.3,6.0,8.4,5.7,-1.2,0.0,-0.1,0.0,0.4,1.1,0.0,14.1,11.6
Canlan Ice Sports Corp. (TSX:ICE),2005,16.0,0.0,41.8,9.6,0.9,7.2,5.2,85.6,13.2,4.0,5.9,0.0,42.1,-8.0,0.4,10.5,3.4,11.7
"eNucleus, Inc.",2005,4.0,1.0,9.3,5.5,-0.3,1.4,3.4,9.3,2.8,-1.1,0.7,0.0,1.0,0.6,1.2,-0.9,12.2,11.7
CVD Equipment Corporation (NasdaqCM:CVV),2005,16.0,0.0,11.2,3.9,0.4,1.0,4.9,10.9,1.8,1.4,3.1,0.0,3.0,3.1,2.8,2.1,3.3,11.8
Texas Vanguard Oil Company,2005,16.0,0.0,6.5,2.5,1.0,1.8,5.6,8.6,1.1,1.6,0.0,0.2,0.0,4.6,5.3,0.0,4.6,11.9
Hammond Manufacturing Company Limited (TSX:HMM.A),2005,16.0,0.0,57.2,16.2,-0.4,2.7,22.9,39.6,16.5,-0.2,5.6,0.0,15.1,6.4,1.4,-98.0,9.6,11.9
InnSuites Hospitality Trust (AMEX:IHT),2005,16.0,0.0,21.2,9.2,0.5,2.5,1.3,32.0,4.5,0.9,8.6,0.0,21.2,-3.2,0.3,24.2,3.3,12.1
Pyramid Oil Company,2005,16.0,0.0,3.5,2.1,1.1,1.5,3.3,5.9,0.6,1.2,0.0,0.3,0.0,2.6,5.2,0.0,10.1,12.1
"ARI Network Services, Inc.",2005,16.0,0.0,14.1,12.1,2.9,2.5,5.5,8.4,9.1,2.3,0.0,0.2,0.0,-3.6,0.6,0.0,13.8,12.1
"UFP Technologies, Inc. (NasdaqCM:UFPT)",2005,16.0,0.0,84.0,14.6,0.7,5.1,23.6,44.0,20.3,1.0,3.4,0.0,17.1,3.3,1.2,16.9,16.2,12.3
Raydan Manufacturing Inc.,2005,16.0,0.0,10.9,1.9,0.5,1.3,6.4,9.7,2.7,-0.4,1.0,0.0,1.2,3.7,2.3,-3.1,11.1,12.4
Dreams Inc.,2005,16.0,0.0,38.4,17.6,0.6,2.0,14.2,22.0,5.9,2.4,0.7,0.0,1.3,8.3,2.4,0.5,5.6,12.5
Trans World Corporation,2005,16.0,0.0,23.2,9.2,0.1,1.2,7.2,26.0,7.0,1.5,0.0,0.0,0.0,0.2,1.0,0.0,12.8,12.6
Allied Hotel Properties Inc. (TSXV:AHP),2005,16.0,0.0,32.4,17.9,4.2,5.2,3.6,47.6,41.4,1.3,7.2,0.1,37.6,-37.8,0.1,29.9,18.4,12.6
HemaCare Corporation,2005,16.0,0.0,31.2,6.6,1.7,2.4,7.7,10.5,3.6,1.9,0.0,0.1,0.0,4.2,2.2,0.0,11.7,12.7
ITEX Corporation (OTCPK:ITEX),2005,16.0,0.0,12.8,1.8,2.4,0.7,2.1,8.1,2.2,1.6,0.7,0.2,0.5,-0.1,1.0,0.3,8.0,12.8
"Art's-Way Manufacturing Co., Inc. (NasdaqCM:ARTW)",2005,16.0,0.0,14.6,4.4,1.0,2.0,9.5,11.8,2.1,2.5,0.8,0.1,1.6,7.4,4.6,0.6,12.4,12.8
Microsemi RFIS Inc.,2005,16.0,0.0,9.8,4.5,1.0,1.5,4.7,7.7,1.0,1.1,0.0,0.1,0.0,3.8,4.9,0.0,13.9,12.9
Alpine Air Express Inc.,2005,16.0,0.0,25.4,1.5,-0.6,1.4,5.1,23.9,6.6,1.2,5.6,0.0,7.7,-1.5,0.8,6.3,6.1,13.0
"Dougherty's Pharmacy, Inc. (OTCPK:MYDP)",2005,16.0,0.0,53.0,18.2,0.1,1.3,11.9,22.0,7.4,3.7,6.9,0.0,8.7,4.5,1.6,2.3,24.1,13.0
Morgan's Foods Inc.,2005,16.0,0.0,86.0,14.7,2.7,9.8,7.0,49.6,10.5,5.7,3.8,0.0,37.3,-3.6,0.7,6.6,2.3,13.2
Trafina Energy Ltd.,2005,16.0,0.0,4.1,3.0,0.5,1.8,3.8,12.2,4.3,1.7,0.0,0.1,0.0,-0.5,0.9,0.0,5.3,13.2
"AMEN Properties, Inc. (OTCPK:AMEN)",2005,16.0,0.0,10.2,1.3,-0.7,0.4,3.7,15.7,2.0,-0.5,13.9,-0.1,5.4,1.7,1.9,-11.7,9.9,13.2
Elecsys Corporation,2005,16.0,0.0,13.7,4.3,0.6,1.3,5.6,8.5,3.5,0.3,1.1,0.0,1.4,2.1,1.6,4.3,11.4,13.2
The Skor Food Group Inc.,2005,16.0,0.0,69.7,12.1,1.6,2.9,10.2,12.7,5.1,2.5,0.2,0.0,0.6,5.1,2.0,0.2,5.7,13.3
"Simulations Plus, Inc. (NasdaqCM:SLP)",2005,16.0,0.0,4.5,3.0,0.0,0.1,2.2,5.3,0.6,1.2,0.0,0.0,0.0,1.6,3.4,0.0,17.1,13.4
"Electro-Sensors, Inc. (NasdaqCM:ELSE)",2005,16.0,0.0,4.9,3.0,0.8,0.1,15.1,16.5,2.8,-0.1,0.0,0.2,0.0,12.4,5.5,0.0,13.6,13.5
IKONICS Corporation (NasdaqCM:IKNX),2005,16.0,0.0,14.0,6.2,0.9,1.5,7.7,9.5,1.0,1.0,0.0,0.1,0.0,6.7,7.8,0.0,13.4,13.6
"Conrad Industries, Inc. (OTCPK:CNRD)",2005,16.0,0.0,64.6,4.1,0.1,3.4,20.5,52.2,14.2,-2.3,5.0,0.0,17.0,6.3,1.4,-7.4,15.9,13.7
"GBO, Inc.",2005,16.0,0.0,82.1,1.4,-2.5,2.2,19.1,44.4,16.1,8.4,6.6,0.0,14.2,3.0,1.2,1.7,23.7,13.7
"Servotronics, Inc. (AMEX:SVT)",2005,16.0,0.0,22.9,5.9,1.4,2.0,16.3,23.2,3.0,3.3,0.4,0.1,0.8,13.3,5.4,0.2,10.2,13.8
International Road Dynamics Inc.,2005,16.0,0.0,28.7,8.7,0.8,1.9,14.7,21.7,8.0,2.4,2.5,0.0,4.8,6.7,1.8,2.0,10.3,13.8
Dynatronics Corporation (NasdaqCM:DYNT),2005,16.0,0.0,19.8,7.8,0.5,1.1,10.0,14.3,1.9,0.5,1.7,0.0,1.9,8.1,5.3,4.1,14.7,13.8
Lakeview Hotel Investment Corp. (TSXV:LHR),2005,16.0,0.0,3.8,3.2,0.2,1.3,6.4,25.6,1.0,0.0,7.1,0.0,9.4,5.4,6.2,-208.4,,14.0
"RadNet, Inc. (NasdaqGM:RDNT)",2005,16.0,0.0,144.6,33.3,-1.4,33.3,24.8,118.6,30.3,12.0,4.9,0.0,162.2,-5.5,0.8,13.5,19.3,14.1
CTS Valpey Corporation,2005,16.0,0.0,11.4,3.8,0.2,1.1,11.1,13.6,2.2,1.6,0.0,0.0,0.0,8.9,5.0,0.0,15.8,14.2
Alliance Media Holdings Inc. (OTCPK:ADTR),2005,16.0,0.0,58.7,5.9,0.2,0.7,12.4,12.9,9.6,-2.4,6.6,0.0,4.9,2.8,1.3,-2.0,,14.2
"Sport Haley Holdings, Inc.",2005,16.0,0.0,19.9,6.3,-0.4,0.2,16.6,17.3,1.6,1.9,0.0,0.0,0.0,15.0,10.4,0.0,11.1,14.3
"Inhibitor Therapeutics, Inc. (OTCPK:INTI)",2005,6.0,1.0,7.8,2.2,0.1,1.2,4.3,11.1,1.1,1.0,1.4,0.0,1.7,3.2,3.8,1.7,17.3,14.3
American Wagering Inc.,2005,16.0,0.0,12.5,4.1,0.4,0.4,5.4,7.9,3.7,-0.5,0.0,0.0,0.0,1.7,1.4,0.0,4.3,14.4
ImmuCell Corporation (NasdaqCM:ICCC),2005,16.0,0.0,5.0,3.4,0.7,1.3,6.8,10.0,0.7,0.8,0.0,0.1,0.0,6.1,9.7,0.0,14.5,14.5
"The Sports Club Company, Inc.",2005,16.0,0.0,56.2,14.6,-22.2,4.2,141.8,212.6,201.0,4.2,26.3,-0.4,109.1,-59.2,0.7,26.1,31.9,14.5
Cyanotech Corporation (NasdaqCM:CYAN),2005,16.0,0.0,10.4,3.0,-0.3,1.2,6.6,17.5,1.4,1.0,0.0,0.0,0.0,5.2,4.8,0.0,27.2,14.6
"Steakhouse Partners, Inc.",2005,3.0,1.0,52.0,6.0,-0.5,1.7,2.6,30.7,12.3,0.0,9.8,0.0,16.9,-9.7,0.2,,,14.6
Smith-Midland Corporation (NasdaqCM:SMID),2005,16.0,0.0,23.8,6.2,1.4,2.5,8.9,12.6,3.2,1.2,1.3,0.1,3.2,5.6,2.7,2.6,4.2,14.7
"The LGL Group, Inc. (AMEX:LGL)",2005,16.0,0.0,46.2,14.7,1.2,2.8,24.8,32.7,12.9,2.3,0.3,0.0,0.8,11.9,1.9,0.4,22.0,14.7
"Recycling Asset Holdings, Inc.",2005,16.0,0.0,117.4,7.6,1.1,3.5,9.0,17.9,9.9,3.9,0.0,0.0,0.0,-0.9,0.9,0.0,25.0,14.7
TAG Entertainment Corp.,2005,4.0,1.0,3.9,3.3,-1.9,0.1,5.0,7.4,3.7,-2.2,19.1,-0.5,1.6,1.2,1.3,-0.7,8.1,14.8
"Boss Holdings, Inc. (OTCPK:BSHI)",2005,16.0,0.0,54.2,13.6,0.7,2.0,27.1,35.4,4.6,-1.8,2.9,0.0,5.7,22.6,6.0,-3.1,14.7,14.8
Hanwha Aerospace USA,2005,16.0,0.0,35.0,6.0,3.3,4.6,13.3,23.8,6.2,4.3,1.5,0.1,6.7,7.1,2.1,1.6,8.7,14.9
US 1 Industries Inc.,2005,16.0,0.0,175.6,33.9,4.1,3.0,31.9,33.3,22.4,-1.6,3.3,0.0,10.0,9.5,1.4,-6.2,12.2,15.0
Automodular Corporation,2005,16.0,0.0,68.0,4.3,9.5,4.3,26.6,44.0,12.0,12.5,0.0,0.1,0.0,14.6,2.2,0.0,22.3,15.0
Saxon Oil Company Ltd,2005,16.0,0.0,1.8,1.6,0.2,0.7,0.7,3.3,0.1,1.1,0.0,0.1,0.0,0.6,5.1,0.0,7.9,15.2
Kreisler Manufacturing Corp.,2005,16.0,0.0,16.7,2.0,0.7,1.6,10.4,12.0,1.3,-0.4,0.0,0.0,0.0,9.1,7.8,0.0,8.9,15.2
MGC Diagnostics Corporation,2005,16.0,0.0,25.7,12.9,-0.1,1.4,10.4,16.8,4.1,-0.5,0.0,0.0,0.0,6.3,2.5,0.0,7.6,15.3
"RBC Life Sciences, Inc. (OTCPK:RBCL)",2005,16.0,0.0,19.4,11.9,0.6,1.5,6.1,12.7,5.0,0.8,1.1,0.0,1.5,1.1,1.2,1.9,3.4,15.4
Good Times Restaurants Inc. (NasdaqCM:GTIM),2005,16.0,0.0,17.5,2.2,-0.5,0.6,2.9,9.3,1.6,1.0,0.0,0.0,0.0,1.3,1.8,0.0,8.1,15.6
"Park City Group, Inc. (NasdaqCM:PCYG)",2005,16.0,0.0,6.5,4.9,-0.2,1.1,1.0,1.3,3.9,2.0,3.6,0.0,4.0,-2.9,0.3,2.1,15.0,15.6
SmartPros Ltd.,2005,16.0,0.0,10.4,6.3,0.7,1.0,8.5,11.4,4.2,1.2,0.0,0.1,0.0,4.3,2.0,0.0,19.3,15.6
"Taylor Devices, Inc. (NasdaqCM:TAYD)",2005,16.0,0.0,12.6,3.7,0.3,1.1,9.0,13.8,2.6,1.8,0.6,0.0,0.6,6.4,3.5,0.3,13.8,15.7
Boyd Group Services Inc. (TSX:BYD),2005,16.0,0.0,156.3,70.1,0.9,10.1,22.2,90.1,24.5,5.6,3.4,0.0,34.0,-2.3,0.9,6.0,51.3,15.7
Unilens Vision Inc.,2005,16.0,0.0,5.8,2.5,2.4,0.2,4.4,7.7,0.8,1.6,0.0,0.4,0.0,3.5,5.2,0.0,9.2,15.8
Pacific Insight Electronics Corp.,2005,16.0,0.0,30.1,7.4,2.2,4.1,10.4,17.7,3.1,2.3,0.5,0.1,2.2,7.3,3.4,1.0,14.1,15.9
Beaumont Select Corporations Inc.,2005,16.0,0.0,34.0,3.7,4.7,2.4,45.2,64.1,37.1,2.1,1.0,0.1,2.4,8.1,1.2,1.1,14.0,16.0
CPS Technologies Corporation (NasdaqCM:CPSH),2005,16.0,0.0,7.2,1.8,0.3,0.6,2.8,3.7,0.8,0.3,0.0,0.0,0.0,2.0,3.4,0.0,14.5,16.0
MRRM Inc.,2005,16.0,0.0,34.3,2.2,2.0,2.0,9.6,23.6,8.0,-1.8,0.0,0.1,0.0,1.6,1.2,0.0,16.4,16.1
Northampton Group Inc.,2005,16.0,0.0,25.5,6.7,1.0,6.7,12.9,61.0,17.4,3.1,2.9,0.0,19.7,-4.5,0.7,6.3,13.4,16.3
Grill Concepts Inc.,2005,16.0,0.0,70.7,8.1,0.9,3.1,6.0,22.0,7.3,3.3,0.0,0.0,0.0,-1.3,0.8,0.0,13.2,16.5
"EVI Industries, Inc. (AMEX:EVI)",2005,16.0,0.0,17.8,5.2,0.7,1.2,8.3,8.9,3.1,2.1,0.0,0.0,0.0,5.3,2.7,0.0,21.8,16.5
"RF Industries, Ltd. (NasdaqGM:RFIL)",2005,16.0,0.0,13.7,6.1,0.5,1.1,11.7,12.5,0.7,1.5,0.0,0.0,0.0,11.0,17.1,0.0,25.3,16.5
"Noble Roman's, Inc. (OTCPK:NROM)",2005,16.0,0.0,8.4,6.2,2.9,3.3,4.7,15.5,1.9,1.7,2.4,0.3,7.9,2.8,2.5,4.7,14.5,16.6
"Tofutti Brands, Inc. (OTCPK:TOFB)",2005,16.0,0.0,18.6,5.0,0.4,0.6,6.6,6.6,2.9,-0.6,0.0,0.0,0.0,3.7,2.3,0.0,17.5,16.6
"MEGTEC TurboSonic Technologies, Inc.",2005,16.0,0.0,17.5,3.3,0.9,0.9,5.6,6.1,4.3,0.9,0.0,0.0,0.0,1.3,1.3,0.0,5.8,16.8
Omni-Lite Industries Canada Inc. (TSXV:OML),2005,16.0,0.0,4.4,3.1,1.3,2.0,2.6,9.8,1.1,1.6,0.2,0.3,0.4,1.5,2.3,0.3,10.7,16.8
"Maxus Realty Trust, Inc. (OTCPK:MRTI)",2005,16.0,0.0,6.6,4.1,-1.1,2.8,13.7,54.7,2.8,1.1,13.7,-0.2,38.8,10.9,4.9,35.2,19.2,16.9
The Becker Milk Company Limited (TSX:BEK.B),2005,16.0,0.0,3.3,3.3,1.0,1.7,3.0,17.5,1.2,1.9,0.0,0.3,0.0,1.8,2.6,0.0,16.5,17.0
Novik Inc.,2005,16.0,0.0,9.7,3.8,-0.7,0.4,5.3,13.6,3.3,-0.5,14.7,-0.1,6.5,2.0,1.6,-13.3,,17.0
"Stamford Industrial Group, Inc. (OTCPK:SIDG.Q)",2005,4.0,1.0,64.5,10.8,7.4,7.9,15.0,15.2,0.4,4.5,0.0,0.1,0.0,14.6,42.4,0.0,22.5,17.1
Tecsys Inc. (TSX:TCS),2005,16.0,0.0,34.3,13.7,-0.1,0.9,17.7,24.9,9.5,0.4,0.0,0.0,0.0,8.2,1.9,0.0,18.4,17.2
Avalon Holdings Corporation (AMEX:AWX),2005,16.0,0.0,34.2,5.6,0.4,1.0,18.3,43.6,6.7,2.5,0.0,0.0,0.0,11.6,2.7,0.0,12.2,17.3
"Flanigan's Enterprises, Inc. (AMEX:BDL)",2005,16.0,0.0,50.3,11.9,1.2,4.1,6.5,21.7,4.4,2.7,0.0,0.0,0.0,2.1,1.5,0.0,14.5,17.5
Mexco Energy Corporation (AMEX:MXC),2005,16.0,0.0,3.6,2.8,1.0,2.1,0.7,9.5,0.4,1.7,0.5,0.3,1.0,0.3,1.8,0.6,10.1,17.7
Pinnacle Data Systems Inc.,2005,16.0,0.0,44.6,10.5,0.9,2.3,23.5,24.4,17.7,-4.8,3.9,0.0,8.8,5.8,1.3,-1.8,16.1,17.9
Dominion Citrus Income Fund,2005,16.0,0.0,107.5,19.8,2.0,3.8,22.7,35.4,15.8,4.3,1.1,0.0,4.1,6.9,1.4,0.9,,17.9
Trio-Tech International (AMEX:TRT),2005,16.0,0.0,24.9,6.5,8.3,1.7,19.4,26.9,8.0,2.0,0.0,0.3,0.0,11.4,2.4,0.0,13.0,18.0
Firan Technology Group Corporation (TSX:FTG),2005,16.0,0.0,45.2,9.1,-0.8,3.7,15.0,28.5,11.4,2.2,0.9,0.0,3.2,3.6,1.3,1.5,15.3,18.1
"Schmitt Industries, Inc. (NasdaqCM:SMIT)",2005,16.0,0.0,10.9,6.2,1.7,1.5,7.5,9.7,0.9,1.4,0.0,0.2,0.0,6.5,8.1,0.0,16.9,18.1
